"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","EcogPtDivatt","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Div atten","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogPtTotal","ADNIMERGE","Key variables merged into one data table","-4","Pt ECog - Total","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPMem","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Mem","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPLang","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Lang","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FSVERSION","ADNIMERGE","Key variables merged into one data table","-4","FreeSurfer Software Version","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPVisspat","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Vis/Spat","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPPlan","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Plan","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPOrgan","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Organ","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPDivatt","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Div atten","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPTotal","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Total","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
